time,Temp,Avg_Chloro,Akashiwo_sanguinea,Alexandrium_spp,Dinophysis_spp,Lingulodinium_polyedra,Pseudo_nitzschia_delicatissima_group,Pseudo_nitzschia_seriata_group,Total_Phytoplankton
UTC,degree_C,mg/m3,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L
2024-04-01T18:03:00Z,12.3,NaN,0.0,0.0,0.0,0.0,109.0,149.0,10631.0
2024-04-08T16:45:00Z,10.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,4825.0
2024-04-15T19:37:00Z,11.7,NaN,0.0,0.0,7.0,0.0,0.0,331.0,3489.0
2024-04-22T20:24:00Z,13.2,NaN,0.0,0.0,4.0,0.0,0.0,0.0,1305.0
2024-04-29T18:50:00Z,13.2,NaN,0.0,0.0,0.0,0.0,0.0,0.0,3627.0
2024-05-06T19:35:00Z,10.2,NaN,0.0,0.0,0.0,0.0,0.0,0.0,513.0
2024-05-13T20:04:00Z,12.0,NaN,0.0,0.0,0.0,0.0,118.0,789.0,54353.0
2024-05-16T18:30:00Z,NaN,NaN,0.0,0.0,0.0,0.0,541.0,691.0,68031.0
2024-05-20T18:35:00Z,11.5,NaN,0.0,0.0,0.0,0.0,0.0,209.0,5711.0
2024-05-28T21:13:00Z,11.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,9477.0
2024-06-03T21:01:00Z,9.6,NaN,0.0,0.0,0.0,0.0,0.0,0.0,961.0
2024-06-10T21:04:00Z,10.8,NaN,0.0,0.0,0.0,0.0,0.0,26.0,3669.0
2024-06-17T19:02:00Z,9.7,NaN,0.0,0.0,0.0,0.0,0.0,0.0,1123.0
2024-06-24T19:05:00Z,11.1,NaN,0.0,0.0,0.0,0.0,0.0,1076.0,72973.0
2024-07-01T19:03:00Z,9.6,NaN,0.0,0.0,0.0,0.0,0.0,67.0,9493.0
2024-07-08T19:47:00Z,14.9,NaN,0.0,0.0,3.0,0.0,16.0,0.0,2005.0
2024-07-15T20:19:00Z,16.2,NaN,0.0,688.0,42.0,0.0,65.0,0.0,4342.0
2024-07-25T19:18:00Z,13.9,NaN,0.0,1800.0,59.0,0.0,519.0,585.0,10274.0
2024-07-29T19:44:00Z,11.3,NaN,0.0,0.0,0.0,0.0,194.0,26.0,5172.0
2024-08-05T18:37:00Z,10.1,NaN,0.0,0.0,0.0,0.0,43.0,17.0,1565.0
2024-08-12T18:22:00Z,10.4,NaN,0.0,0.0,4.0,0.0,358.0,201.0,2615.0
2024-08-19T21:37:00Z,12.4,NaN,0.0,19.0,0.0,0.0,12150.0,26.0,15795.0
2024-08-27T19:33:00Z,13.3,NaN,0.0,15.0,0.0,0.0,18038.0,0.0,19065.0
2024-08-28T21:26:00Z,14.9,NaN,0.0,304.0,64.0,32.0,33863.0,0.0,36107.0
2024-09-03T18:12:00Z,14.4,NaN,0.0,647.0,69.0,0.0,164.0,0.0,1458.0
2024-09-09T18:54:00Z,12.1,NaN,0.0,34.0,0.0,0.0,523.0,0.0,957.0
2024-09-16T17:56:00Z,10.3,NaN,0.0,0.0,0.0,0.0,612.0,0.0,1817.0
2024-09-23T17:45:00Z,13.5,NaN,0.0,0.0,0.0,0.0,0.0,0.0,765.0
2024-09-30T16:20:00Z,NaN,NaN,0.0,162.0,42.0,0.0,0.0,0.0,13726.0
2024-09-30T20:14:00Z,15.0,NaN,0.0,1119.0,365.0,0.0,0.0,0.0,29243.0
2024-10-07T18:05:00Z,14.3,NaN,0.0,0.0,60.0,0.0,0.0,0.0,3593.0
2024-10-14T19:35:00Z,13.3,NaN,0.0,0.0,28.0,0.0,3.0,5.0,1703.0
2024-10-21T17:36:00Z,12.5,NaN,0.0,14.0,0.0,0.0,0.0,0.0,3397.0
2024-10-21T19:45:00Z,12.5,NaN,0.0,5983.0,187.0,0.0,561.0,1683.0,41508.0
2024-10-28T18:30:00Z,12.9,NaN,0.0,0.0,841.0,0.0,280.0,561.0,202771.0
2024-10-28T18:40:00Z,12.9,NaN,0.0,0.0,24.0,0.0,73.0,122.0,21911.0
2024-11-04T22:45:00Z,12.0,NaN,0.0,0.0,107.0,0.0,0.0,160.0,29542.0
2024-11-04T22:55:00Z,12.0,NaN,0.0,4.0,8.0,0.0,0.0,0.0,2050.0
2024-11-11T19:20:00Z,11.5,NaN,0.0,0.0,0.0,0.0,168.0,0.0,32837.0
2024-11-18T22:42:00Z,11.3,NaN,0.0,0.0,0.0,0.0,0.0,5.0,4497.0
2024-11-25T19:41:00Z,12.6,NaN,0.0,0.0,5.0,0.0,0.0,0.0,215.0
2024-12-09T21:15:00Z,12.1,NaN,0.0,0.0,0.0,0.0,26.0,0.0,1143.0
2024-12-17T22:45:00Z,12.4,NaN,0.0,5.0,0.0,0.0,0.0,0.0,213170.0
2024-12-26T19:53:00Z,12.3,NaN,0.0,0.0,38.0,0.0,0.0,0.0,5037.0
2024-12-30T21:15:00Z,12.6,NaN,0.0,0.0,91.0,0.0,0.0,0.0,12892.0
2025-01-06T19:29:00Z,12.4,NaN,0.0,0.0,89.0,0.0,0.0,0.0,38533.0
