time,sea_water_temperature,mass_concentration_of_chlorophyll_in_sea_water
UTC,degree_Celsius,microg.L-1
2019-01-03T07:48:00Z,10.16,6.76
2019-01-03T07:54:00Z,10.16,4.28
2019-01-03T08:00:00Z,10.215,2.14
2019-01-03T08:18:00Z,10.2,14.89
2019-01-03T08:24:00Z,10.2,19.85
2019-01-03T08:30:00Z,10.21,28.43
2019-01-03T08:36:00Z,10.22,12.86
2019-01-03T08:42:00Z,10.23,0.78
2019-01-03T08:48:00Z,10.24,0.86
2019-01-03T08:54:00Z,10.24,0.89
2019-01-03T09:06:00Z,10.2,0.96
2019-01-03T09:12:00Z,10.19,0.94
2019-01-03T09:18:00Z,10.2,0.98
2019-01-03T09:24:00Z,10.2,1.0
2019-01-03T09:30:00Z,10.21,0.94
2019-01-03T09:36:00Z,10.22,0.86
2019-01-03T09:42:00Z,10.22,0.85
2019-01-03T09:48:00Z,10.21,5.42
2019-01-03T09:54:00Z,10.2,6.94
2019-01-03T10:00:00Z,10.2814285714,6.11
2019-01-03T10:06:00Z,10.23,9.0
2019-01-03T10:12:00Z,10.23,10.87
2019-01-03T10:18:00Z,10.25,3.69
2019-01-03T10:24:00Z,10.26,1.29
2019-01-03T10:30:00Z,10.26,1.23
2019-01-03T10:36:00Z,10.28,4.37
2019-01-03T10:42:00Z,10.29,5.97
2019-01-03T10:48:00Z,10.3,5.17
2019-01-03T10:54:00Z,10.3,4.97
2019-01-03T11:00:00Z,10.3023529412,2.47
2019-01-03T11:06:00Z,10.33,1.18
2019-01-03T11:12:00Z,10.33,1.16
2019-01-03T11:18:00Z,10.32,1.39
2019-01-03T11:24:00Z,10.32,1.44
2019-01-03T11:30:00Z,10.27,1.48
2019-01-03T11:36:00Z,10.28,4.5
2019-01-03T11:42:00Z,10.3,5.5
2019-01-03T11:48:00Z,10.29,2.25
2019-01-03T11:54:00Z,10.29,1.44
2019-01-03T12:00:00Z,10.19,2.85
2019-01-03T12:06:00Z,10.29,8.28
2019-01-03T12:12:00Z,10.3,9.61
2019-01-03T12:18:00Z,10.19,2.8
2019-01-03T12:24:00Z,10.16,1.1
2019-01-03T12:30:00Z,10.22,1.09
2019-01-03T12:36:00Z,10.16,1.42
2019-01-03T12:42:00Z,10.12,1.53
2019-01-03T12:54:00Z,10.17,27.97
2019-01-03T13:00:00Z,10.1546666667,17.08
2019-01-03T13:06:00Z,10.17,3.15
